"name","breedname","speciesname","sex"
"mask","maltese mix","canine","male"
"mini mom","maltese mix","canine","male"
"raccoon","maltese mix","canine","male"
"righty","maltese mix","canine","male"
"adalie joy","siamese","feline","female"
"king george","unknown","feline","male, neutered"
"lefty","maltese mix","canine","male"
"aang","cockapoo","canine","male, neutered"
"abacus ""abby""","domestic shorthair","feline","female, spayed"
"abbey","beagle mix","canine","female, spayed"
"abbey","domestic shorthair","feline","female, spayed"
"abbey rose","terrier, yorkshire","canine","female, spayed"
"abbie","shih tzu mix","canine","female, spayed"
"abbie","coon, maine mix","feline","female, spayed"
"abbie","domestic shorthair","feline","female, spayed"
"abbie","domestic shorthair","feline","female, spayed"
"abby","terrier, australian","canine","female"
"abby","retriever","canine","female, spayed"
"abby","forest cat, norwegian","feline","female, spayed"
"abby","domestic shorthair","feline","female, spayed"
"abby","boxer","canine","female, spayed"
"abby","domestic shorthair","feline","female"
"abby","cavapoo","canine","female, spayed"
"abby","cavapoo","canine","female"
"abby","havanese","canine","female, spayed"
"abby","pomeranian mix","canine","female, spayed"
"abby","chihuahua","canine","female, spayed"
"abby","beagle","canine","female, spayed"
"abby","domestic shorthair","feline","female, spayed"
"abby","retriever, labrador mix","canine","female, spayed"
"abby","spaniel, boykin","canine","female, spayed"
"abby","domestic shorthair","feline","female, spayed"
"abby","pomeranian","canine","female"
"abby","schnauzer, miniature","canine","female, spayed"
"abby","domestic mediumhair","feline","female, spayed"
"abby","shorthair, misc","canine","female, spayed"
"abby","labradoodle, mini","canine","female, spayed"
"abby","retriever, labrador","canine","female, spayed"
"abby","domestic mediumhair","feline","female, spayed"
"abby","domestic shorthair","feline","female, spayed"
"abby","goldendoodle, mini","canine","female, spayed"
"abby","retriever mix","canine","female, spayed"
"abby","shetland sheepdog","canine","female, spayed"
"abby","terrier, yorkie-poo","canine","female, spayed"
"abby","retriever, golden","canine","female, spayed"
"abby","goldendoodle","canine","female, spayed"
"abby","terrier, jack russell mix","canine","female, spayed"
"abby","siamese","feline","female, spayed"
"abby","shepherd mix","canine","female, spayed"
"abby","catahoula leopard dog","canine","female, spayed"
"abby","retriever, labrador mix","canine","female, spayed"
"abby","husky, siberian","canine","female, spayed"
"abby","shepherd, german mix","canine","female, spayed"
"abby","bernadoodle- bernese and poodl","canine","female, spayed"
"abby","domestic shorthair","feline","female"
"abby","poodle, miniature","canine","female, spayed"
"abby","bichon frise mix","canine","female, spayed"
"abby","sheepdog, old english","canine","female, spayed"
"abby","domestic shorthair","feline","female"
"abby","domestic shorthair","feline","female"
"abby","retriever, labrador mix","canine","female, spayed"
"abby","border collie","canine","female, spayed"
"abby","domestic shorthair","feline","female"
"abby","other guinea pig","guinea pig","female"
"abby","shepherd, australian","canine","female, spayed"
"abby","retriever, labrador","canine","female, spayed"
"abby hall","mixed","canine","female"
"abel","bulldog, english","canine","male, neutered"
"abel","bulldog, english","canine","male"
"abetta","great pyrenees mix","canine","female, spayed"
"abigail","domestic shorthair","feline","female, spayed"
"abigail","domestic mediumhair","feline","female, spayed"
"abigail","mountain dog, bernese","canine","female, spayed"
"abigail","domestic shorthair","feline","female, spayed"
"abigail","domestic shorthair","feline","female, spayed"
"abigail","domestic shorthair","feline","female, spayed"
"abigail","domestic mediumhair","feline","female"
"abigail","shih tzu","canine","female"
"abner","unknown","guinea pig","male"
"abraham lincoln","domestic shorthair","feline","male, neutered"
"abscinthe","domestic shorthair","feline","female, spayed"
"abu","shih tzu mix","canine","female, spayed"
"ace","domestic shorthair","feline","male, neutered"
"ace","domestic mediumhair","feline","male, neutered"
"ace","pitbull","canine","male"
"ace","domestic shorthair","feline","male, neutered"
"ace","great dane","canine","male, neutered"
"ace","domestic shorthair","feline","male, neutered"
"ace","pomski","canine","male"
"ace","shepherd, australian","canine","male"
"ace","akita mix","canine","male"
"ace","terrier, yorkshire","canine","male, neutered"
"ace","chihuahua mix","canine","male, neutered"
"ace","pomski","canine","male"
"ace","shepherd, german","canine","male"
"ace","retriever, labrador","canine","male, neutered"
"ace","domestic shorthair","feline","male, neutered"
"ace","husky","canine","male, neutered"
"ace","boxer mix","canine","male, neutered"
"ace","domestic mediumhair","feline","male"
"ace","shar pei, chinese","canine","male"
"ace","husky mix","canine","male"
"ace","american bully","canine","male"
"ace","domestic shorthair","feline","male, neutered"
"ace","chihuahua mix","canine","male, neutered"
"ace","doberman pinscher","canine","male"
"ace","border collie","canine","male, neutered"
"ace","cockapoo","canine","male, neutered"
"ace","retriever, labrador mix","canine","male, neutered"
"ace","domestic shorthair","feline","male, neutered"
"ace","retriever, labrador","canine","male, neutered"
"ace","domestic shorthair","feline","male, neutered"
"ace jr.","domestic shorthair","feline","male, neutered"
"ace miller","other","canine","unknown"
"achilles","husky","canine","male, neutered"
"achilles","domestic mediumhair","feline","male, neutered"
"achilles","domestic shorthair","feline","male, neutered"
"achilles","retriever mix","canine","male, neutered"
"achilles","domestic shorthair","feline","male, neutered"
"achilles","havanese mix","canine","male"
"acorn","saint bernard mix","canine","female"
"acorn","mountain dog, bernese","canine","male"
"action","domestic shorthair","feline","male, neutered"
"ada","domestic shorthair","feline","female, spayed"
"ada","retriever, golden","canine","female, spayed"
"ada may","domestic shorthair","feline","female, spayed"
"adam","domestic shorthair","feline","male, neutered"
"adam savage","domestic shorthair","feline","male, neutered"
"addie","terrier, yorkshire","canine","female, spayed"
"addie","spaniel, cocker","canine","female, spayed"
"addie","spaniel, cavalier king charles","canine","female, spayed"
"addie","domestic shorthair","feline","female, spayed"
"addie","retriever, labrador","canine","female"
"addie","retriever, labrador","canine","female, spayed"
"addie","retriever, golden","canine","female, spayed"
"addison","domestic shorthair","feline","male, neutered"
"addison (addie)","shepherd, australian mix","canine","female, spayed"
"addy","pitbull","canine","female, spayed"
"addy","coonhound mix","canine","female, spayed"
"adeline","domestic mediumhair","feline","female, spayed"
"adeline","retriever, golden","canine","female, spayed"
"admiral whiskers","domestic shorthair","feline","male, neutered"
"aengus","mixed","canine","male, neutered"
"aerial","goldendoodle, mini","canine","female, spayed"
"aero","goldendoodle","canine","male, neutered"
"aesop","bulldog, french","canine","male, neutered"
"afah","siamese mix","feline","male, neutered"
"afi","havanese mix","canine","female, spayed"
"african side neck","turtle, slider","reptile/amphibian","unknown"
"agatha","domestic shorthair","feline","female"
"agatha","domestic shorthair","feline","female, spayed"
"agera","shepherd mix","canine","female, spayed"
"aggie","domestic shorthair","feline","female, spayed"
"aggie","shorkie","canine","female"
"agnes","terrier, yorkie-poo","canine","female"
"agnes","american bully","canine","female"
"ahri","samoyed","canine","female, spayed"
"ahsoka","domestic mediumhair","feline","female, spayed"
"ahsoka","domestic shorthair","feline","female, spayed"
"aidan","domestic shorthair","feline","female, spayed"
"aiden","domestic shorthair","feline","male, neutered"
"aiden","coon, maine","feline","male, neutered"
"aika","bichon frise","canine","female, spayed"
"aiko","cattle dog, australian","canine","female, spayed"
"aimee","terrier, yorkshire","canine","female"
"aimee","other","canine","female"
"aisling","hare, belgian","rabbit","female, spayed"
"aj","domestic longhair","feline","male, neutered"
"aj","parrotlet","avian","male"
"aja","siamese","feline","female, spayed"
"ajani","ragdoll","feline","male, neutered"
"aki","shepherd, german mix","canine","male, neutered"
"akira","collie","canine","female, spayed"
"akira","terrier, yorkie-poo","canine","female, spayed"
"akira","husky, siberian","canine","female, spayed"
"akito","terrier","canine","male, neutered"
"akuma","domestic","ferret","male"
"al","siamese mix","feline","male, neutered"
"al","other chinchilla","chinchilla","male"
"alabaster","domestic shorthair","feline","male, neutered"
"alan","american satin","guinea pig","male"
"alani","domestic shorthair","feline","female, spayed"
"albert","domestic longhair","feline","male, neutered"
"albert","dragon, bearded","reptile/amphibian","male"
"albert","domestic shorthair","feline","male"
"albus","domestic shorthair","feline","male, neutered"
"albus","domestic shorthair","feline","male, neutered"
"albus","pitbull mix","canine","male, neutered"
"albus","domestic shorthair","feline","male, neutered"
"albus","retriever, golden","canine","male"
"aldo","chihuahua, smooth-coated","canine","male, neutered"
"alec","domestic shorthair","feline","male"
"alec","domestic","ferret","male"
"alee","domestic shorthair","feline","female, spayed"
"aleen","python, ball","reptile/amphibian","female"
"alek","pug, chinese","canine","male"
"alex","domestic shorthair","feline","male, neutered"
"alex","dragon, bearded","reptile/amphibian","female"
"alex","domestic shorthair","feline","male, neutered"
"alex","domestic shorthair","feline","male, neutered"
"alex","mixed","canine","male"
"alex","terrier, jack russell","canine","male, neutered"
"alex","domestic mediumhair","feline","female, spayed"
"alex","saint bernard mix","canine","male"
"alex","chihuahua mix","canine","male, neutered"
"alex","terrier mix","canine","male, neutered"
"alex","domestic shorthair","feline","male"
