clientid,patientid,statusid,name,breedname,breedid,speciesname,speciesid,extension,active,description
LTEST,18886,1,,"Amazon, Blue Front",ABF,Avian,AVI,,1,Female
15086,23294,1,,Domestic Shorthair,DSH,Feline,FEL,,1,Female
671,16222,1,,Axolotl,AXO,Reptile/Amphibian,REA,,1,Undetermined
1277,2080,1,,Domestic Shorthair,DSH,Feline,FEL,,1,Male
4601,10809,1,Mask,Maltese Mix,MAX,Canine,CAN,,1,Male
4601,10807,1,Mini Mom,Maltese Mix,MAX,Canine,CAN,,1,Male
4601,10811,1,Raccoon,Maltese Mix,MAX,Canine,CAN,,1,Male
4601,10808,1,Righty,Maltese Mix,MAX,Canine,CAN,,1,Male
3729,5872,1,Adalie Joy,Siamese,SIA,Feline,FEL,,1,Female
8328,13588,1,King George,Unknown,UNK,Feline,FEL,,1,Neutered Male
4601,10810,1,Lefty,Maltese Mix,MAX,Canine,CAN,,1,Male
16744,L1155-4,1,#1,Abyssinian,ABY,Feline,FEL,,1,Female
151,236,1,12 Puppies,Cane Corso,CAC,Canine,CAN,,1,Undetermined
13394,13394-27,1,13-014 Cally,Domestic Shorthair,DSH,Feline,FEL,,1,Female
8118,12979,1,2,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
9411,23633,1,4 Little Kittens,Domestic Shorthair,DSH,Feline,FEL,,1,Unknown
3113,4887,1,7 puppies,Boxer,BOX,Canine,CAN,,1,Male
14630,23969,1,9 Puppies,Rottweiler Mix,ROX,Canine,CAN,,1,Female
419,2422,1,A,"Retriever, Labrador",RLA,Canine,CAN,,1,Male
19717,19717-51,1,A Center Use,Other Feline,OTH,Feline,FEL,,1,Undetermined
21245,1509,1,AAA General Merchandise,Unknown,UNK,Cash Small,CSM,,1,Unknown
14341,18059,1,AAAEstimates,Ragdoll Mix,RDX,Feline,FEL,,1,Unknown
5060,19994,1,AAEstimate,Unknown,UNK,Ferret,FER,,1,Unknown
19568,19568-1,1,Aang,Cockapoo,COC,Canine,CAN,,1,Neutered Male
249,415,1,"Abacus ""Abby""",Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
17593,17593-1,1,Abbey,Beagle Mix,BGX,Canine,CAN,,1,Spayed Female
22604,28296,1,Abbey,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
L6275,L6275-3,1,Abbey Rose,YORKSHIRE TERRIER,4,Canine,CAN,,1,Spayed Female
19636,19636-1,1,Abbie,Shih Tzu Mix,SHH,Canine,CAN,,1,Spayed Female
L6606,L6606-2,1,Abbie,"Coon, Maine Mix",MCX,Feline,FEL,,1,Spayed Female
2716,4313,1,Abbie,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
13553,20357,1,Abbie,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
16815,16815-1,1,Abby,"Terrier, Australian",TAU,Canine,CAN,,1,Female
6986,10871,1,Abby,Retriever,RET,Canine,CAN,,1,Spayed Female
8900,14451,1,Abby,"Forest Cat, Norwegian",NWF,Feline,FEL,,1,Spayed Female
2740,30254,1,Abby,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
12837,3735,1,Abby,Boxer,BOX,Canine,CAN,,1,Spayed Female
23540,30802,1,Abby,Domestic Shorthair,DSH,Feline,FEL,,1,Female
16044,12318,1,Abby,Cavapoo,CQQ,Canine,CAN,,1,Spayed Female
17537,24961,1,Abby,Cavapoo,CQQ,Canine,CAN,,1,Female
4293,6765,1,Abby,Havanese,HAV,Canine,CAN,,1,Spayed Female
8924,14484,1,Abby,Pomeranian Mix,PMX,Canine,CAN,,1,Spayed Female
3768,31401,1,Abby,Chihuahua,CIA,Canine,CAN,,1,Spayed Female
5883,27595,1,Abby,Beagle,BGL,Canine,CAN,,1,Spayed Female
L7519,L6708,1,Abby,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
6009,9160,1,Abby,"Retriever, Labrador Mix",RLX,Canine,CAN,,1,Spayed Female
17151,17151-1,1,Abby,"Spaniel, Boykin",SPY,Canine,CAN,,1,Spayed Female
L5130,L6429,1,Abby,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
6768,10435,1,Abby,Pomeranian,POM,Canine,CAN,,1,Female
4984,19995,1,Abby,MINIATURE SCHNAUZER,15,Canine,CAN,,1,Spayed Female
22120,27124,1,Abby,Domestic Mediumhair,DMH,Feline,FEL,,1,Spayed Female
12288,20733,1,Abby,"Pointer, German Shorthaired",GSH,Canine,CAN,,1,Spayed Female
12508,26324,1,Abby,Mini Labradoodle,MLB,Canine,CAN,,1,Spayed Female
1928,3080,1,Abby,LABRADOR RETRIEVER,10,Canine,CAN,,1,Spayed Female
5168,8029,1,Abby,Domestic Mediumhair,DMH,Feline,FEL,,1,Spayed Female
21358,21358-1,1,Abby,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
11022,18606,1,Abby,"Goldendoodle, mini",MGO,Canine,CAN,,1,Spayed Female
7189,11251,1,Abby,Retriever Mixed,REX,Canine,CAN,,1,Spayed Female
